,опыт_лет,возраст,образование,город,язык_программирования,размер_компании,английский,образование_код,зарплата
80,14,21,Магистр,Москва,Java,Крупная,B1-B2,1,550.0
62,3,39,Магистр,СПб,Java,Малая,C1-C2,1,416.0
91,5,40,Магистр,Казань,Python,Средняя,C1-C2,1,424.0
24,11,31,Бакалавр,Москва,Java,Крупная,B1-B2,0,511.0
65,13,36,Магистр,СПб,Java,Средняя,B1-B2,1,546.0
53,8,38,Магистр,Москва,Python,Средняя,B1-B2,1,498.0
135,0,37,Бакалавр,СПб,Java,Крупная,B1-B2,0,347.0
4,10,34,Бакалавр,Москва,Python,Средняя,A1-A2,0,475.0
21,4,47,Бакалавр,Москва,Java,Малая,A1-A2,0,382.0
67,9,39,Магистр,СПб,C++,Малая,C1-C2,1,498.0
85,1,24,Бакалавр,Москва,Java,Крупная,A1-A2,0,462.0
95,12,42,Бакалавр,Казань,JavaScript,Средняя,B1-B2,0,455.0
131,8,28,Бакалавр,СПб,Java,Крупная,B1-B2,0,403.0
50,11,49,Бакалавр,Казань,JavaScript,Средняя,B1-B2,0,460.0
110,11,35,Магистр,Новосибирск,Python,Крупная,C1-C2,1,527.0
177,0,43,Магистр,Москва,C++,Крупная,B1-B2,1,389.0
61,1,28,PhD,Новосибирск,Java,Средняя,A1-A2,2,304.0
74,14,24,Бакалавр,Москва,Java,Средняя,B1-B2,0,511.0
115,12,46,Магистр,Москва,JavaScript,Средняя,B1-B2,1,558.0
172,2,39,Магистр,СПб,Python,Крупная,A1-A2,1,392.0
13,10,47,Бакалавр,СПб,Java,Крупная,B1-B2,0,476.0
125,12,45,Магистр,Москва,JavaScript,Крупная,B1-B2,1,814.5
49,2,28,PhD,СПб,C++,Средняя,C1-C2,2,379.0
159,0,49,Бакалавр,Казань,JavaScript,Крупная,C1-C2,0,331.0
20,5,25,Магистр,СПб,Java,Малая,A1-A2,1,328.0
118,4,48,Бакалавр,Казань,Python,Малая,B1-B2,0,355.0
184,10,27,Магистр,СПб,C++,Крупная,C1-C2,1,499.0
101,9,36,PhD,Новосибирск,Java,Средняя,B1-B2,2,511.0
190,11,44,Магистр,Москва,Java,Крупная,A1-A2,1,558.0
197,12,21,Бакалавр,СПб,Python,Средняя,C1-C2,0,458.0
87,3,20,Бакалавр,Новосибирск,Java,Малая,B1-B2,0,244.0
166,11,28,Магистр,СПб,JavaScript,Средняя,B1-B2,1,485.0
9,9,26,Магистр,Казань,Python,Малая,A1-A2,1,378.0
11,6,38,Бакалавр,СПб,Java,Средняя,C1-C2,0,404.0
93,3,45,PhD,Москва,C++,Крупная,A1-A2,2,437.0
39,10,49,Бакалавр,СПб,Java,Крупная,B1-B2,0,715.5
43,11,28,Магистр,СПб,Python,Малая,B1-B2,1,407.0
180,6,36,Бакалавр,Москва,Java,Малая,B1-B2,0,408.0
112,13,20,PhD,Казань,Java,Средняя,B1-B2,2,473.0
5,7,30,Магистр,Москва,Python,Средняя,B1-B2,1,429.0
136,11,27,Бакалавр,СПб,C++,Крупная,C1-C2,0,489.0
57,6,34,Бакалавр,Новосибирск,Python,Крупная,A1-A2,0,359.0
