id,bolum_tbolumlerid,adi,teori,uygulama,akts
2,8,Hukuka Giriş,3,0,5
4,8,Genel Matematik,3,0,5
6,8,Bilişim Sistemlerine Giriş,3,0,5
7,8,Alritma ve Programlamaya Giriş,3,1,5
8,8,Veri Yapıları,2,1,5
9,8,Nesneye Dayalı Modelleme ve Programlama,3,0,6
10,8,Python,1,1,5
11,8,Veri Tabanı ve Veri Tabanı Yönetim Sistemleri,4,0,7
12,8,Veri Madenciliği ve İş Zekası,2,0,5
13,8,Sistem Analizi ve Tasarımı,4,0,7
14,8,Mobil Programlama,1,1,5
15,1,Türk Dili,4,0,4
16,2,Türk Dili,4,0,4
17,3,Türk Dili,4,0,4
18,4,Türk Dili,4,0,4
19,5,Türk Dili,4,0,4
20,6,Türk Dili,4,0,4
21,7,Türk Dili,4,0,4
22,8,Türk Dili,4,0,4
23,9,Türk Dili,4,0,4
24,10,Türk Dili,4,0,4
25,11,Türk Dili,4,0,4
26,12,Türk Dili,4,0,4
27,13,Türk Dili,4,0,4
28,14,Türk Dili,4,0,4
29,15,Türk Dili,4,0,4
30,16,Türk Dili,4,0,4
31,17,Türk Dili,4,0,4
32,18,Türk Dili,4,0,4
33,19,Türk Dili,4,0,4
34,20,Türk Dili,4,0,4
35,21,Türk Dili,4,0,4
36,22,Türk Dili,4,0,4
37,27,Türk Dili,4,0,4
38,28,Türk Dili,4,0,4
39,29,Türk Dili,4,0,4
40,30,Türk Dili,4,0,4
41,35,Türk Dili,4,0,4
42,55,Türk Dili,4,0,4
43,63,Türk Dili,4,0,4
44,75,Türk Dili,4,0,4
45,76,Türk Dili,4,0,4
46,77,Türk Dili,4,0,4
47,78,Türk Dili,4,0,4
48,80,Türk Dili,4,0,4
49,103,Türk Dili,4,0,4
50,107,Türk Dili,4,0,4
51,108,Türk Dili,4,0,4
52,178,Türk Dili,4,0,4
53,179,Türk Dili,4,0,4
54,180,Türk Dili,4,0,4
55,181,Türk Dili,4,0,4
56,182,Türk Dili,4,0,4
57,183,Türk Dili,4,0,4
58,184,Türk Dili,4,0,4
59,185,Türk Dili,4,0,4
60,186,Türk Dili,4,0,4
61,187,Türk Dili,4,0,4
62,188,Türk Dili,4,0,4
63,289,Türk Dili,4,0,4
64,290,Türk Dili,4,0,4
65,291,Türk Dili,4,0,4
66,302,Türk Dili,4,0,4
67,1,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
68,2,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
69,3,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
70,4,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
71,5,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
72,6,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
73,7,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
74,8,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
75,9,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
76,10,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
77,11,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
78,12,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
79,13,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
80,14,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
81,15,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
82,16,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
83,17,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
84,18,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
85,19,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
86,20,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
87,21,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
88,22,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
89,27,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
90,28,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
91,29,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
92,30,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
93,35,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
94,55,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
95,63,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
96,75,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
97,76,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4
